NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
360,HVDC-ADOPT-SCT-0034,E08,HVDC-ADOPT-SCT-0034,2024-12-13,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control Cable (4th)",O,O,O,O,FOB,USD,255637.95,4000.0,3067.66,262705.61,KOREA,Busan Port,Khalifa port,290-700-2412-029,AL NASRIYAH,Deugro,C,22,1.0,,2.0,,,,,,,,,,,,,,3.0,,,,47722.0,106.89,106.89,,2024-12-13,2024-12-13,2025-01-19,2025-01-19,2025-04-17,2025-01-23,2025-01-23,2025-01-23,47150.0,48240.0,50651.0,2025-01-30,2025-01-30,2025-06-21,2025-08-24,,,,,,,2025-01-29,,,,,2,Port → WH → Site
361,HVDC-ADOPT-SCT-0028,E08,HVDC-ADOPT-SCT-0028,2024-12-13,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,,O,O,,FOB,USD,5455.0,1070.74,71.78,6597.52,Spain,Barcelona,Khalifa port,290-700-2412-027,BELITA / 0MXKSE1MA,Deugro,C,2,,,,,,,,,,,,,,,,1.0,0.0,,,,314.0,3.29,3.29,,2024-12-13,2024-12-13,2025-01-24,2025-01-24,2025-04-16,2025-01-24,2025-01-24,2025-01-24,47150.0,1212.0,1272.0,,2025-02-16,2025-02-19,,,,,,,,2025-01-29,,,,,2,Port → WH → Site
366,HVDC-ADOPT-SEI-0019,E03,HVDC-ADOPT-SEI-0019,2024-12-11,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Bonding Cable & Concentric Cable,,,,,CIF,USD,50500.0,750.0,563.75,51813.75,Indonesia,Jakarta,Khalifa port,EPIRIDTSJK205053,HERTA/02445/W,,C,3,1.0,,,,,,,,,,,,,,,,1.0,,,,1518.0,3.74,3.74,,2024-12-15,2024-12-15,2025-01-24,2025-01-24,2025-04-16,2025-01-30,2025-02-03,2025-02-03,47150.0,9515.0,9990.0,,,,,,,,,2025-02-08,,,,,,,2,Port → WH → Site
367,HVDC-ADOPT-SCT-0046,E08,HVDC-ADOPT-SCT-0046,2025-01-25,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,,,,FOB,USD,1759.24,530.1,19.14,2308.48,Shanghai,China,Abu Dhabi Airport,176-02272815,EK9879,Deugro,A,4,,,,,,,,,,,,,,,,,0.0,,,,62.0,0.31,0.31,,2025-01-22,2025-01-22,2025-01-26,2025-01-26,,2025-01-27,2025-01-27,2025-01-27,47150.0,424.0,445.0,2025-01-30,,,,,,,,,,,,,,,1,Port → Site
376,HVDC-ADOPT-SCT-0037,E08,HVDC-ADOPT-SCT-0037,2024-12-21,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control Cable (5th)",O,O,O,,FOB,USD,419121.0,6400.0,5029.45,430550.45,KOREA,Busan Port,Khalifa port,290-700-2412-028,HMM MIR,Deugro,C,46,,,4.0,,,,,,,,,,,,,,4.0,,,,73346.0,90.68,90.68,,2024-12-21,2024-12-21,2025-01-29,2025-01-29,2025-04-16,2025-01-29,2025-01-30,2025-01-30,47150.0,79060.0,83013.0,2025-02-17,2025-02-10,2025-05-25,,,,,,,,2025-02-10,,,,,2,Port → WH → Site
377,HVDC-ADOPT-SCT-0029,M01,HVDC-ADOPT-SCT-0029,2024-12-09,SCT-19LT-PJC-PO-019,Xinxiang,Mech,Bulk Bag discharger Equipment,Bulk Bag discharger Equipment,,,,O,FOB,USD,66586.5,1500.0,748.95,68835.45,CHINA,Shanghai,Khalifa port,290-700-2411-157,CSCL Globe,Deugro,C,11,,,1.0,,,,,,,,,,,,,,1.0,,,,3980.0,37.37,37.37,,2024-12-09,2024-12-09,2025-01-29,2025-01-29,2025-04-16,2025-01-30,2025-01-31,2025-01-31,47150.0,8053.0,13061.0,,,,,,,,,,,2025-02-06,,,,,2,Port → WH → Site
378,HVDC-ADOPT-ZEN-0013,,HVDC-ADOPT-ZEN-0013,2025-01-17,7772440296,SCHRACK SECONET,Elec,,Fire Alarm and Aspiration Sytem,,,,,CIF,EUR,,,,13408.7,Austria,Viena,Abu Dhabi Airport,607-37275582,EY154,,A,2,,,,,,,,,,,,,,,,,0.0,,,,238.0,1.82,1.82,,2025-01-30,2025-01-30,2025-01-30,2025-01-30,2025-04-16,2025-02-03,2025-02-03,2025-02-03,47150.0,,2804.0,,,,,,,,,,,,,2025-02-05,,,2,Port → WH → Site
380,HVDC-ADOPT-SEI-0017-03,E03,HVDC-ADOPT-SEI-0017-03,2025-01-21,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Part for Oil Pressure Tank,,,,,CIF,JPY,36800.0,731.64,412.85,37944.49,JAPAN,Osaka,Abu Dhabi Airport,ASI-2000 8423,QR803 / QR1050,,A,2,,,,,,,,,,,,,,,,,0.0,,,,28.0,0.14,0.14,,2025-02-04,2025-02-04,2025-02-05,2025-02-05,,2025-02-05,2025-02-05,2025-02-05,47150.0,46.0,48.0,,,,,,,,,2025-02-08,,,,,,,2,Port → WH → Site
383,HVDC-ADOPT-SCT-0048,E08,HVDC-ADOPT-SCT-0048,2025-02-04,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (3rd),,O,,,FOB,USD,13143.6,5636.16,206.58,18986.34,KOREA,Incheon,Abu Dhabi Airport,DGOS2501022,EK323,Deugro,A,1,,,,,,,,,,,,,,,,,0.0,,,,912.0,2.03,2.03,,2025-02-04,2025-02-04,2025-02-06,2025-02-06,2025-04-17,2025-02-07,2025-02-07,2025-02-07,47150.0,1903.0,3582.0,,,2025-02-17,,,,,,,,2025-02-10,,,,,2,Port → WH → Site
384,HVDC-ADOPT-SEI-0017-01,E03,HVDC-ADOPT-SEI-0017-01,2024-12-27,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Cable Accessories,,,,,CIF,JPY,97796928.0,912186.09,1173563.14,99882677.23,JAPAN,Kobe,Khalifa port,290-700-2412-028,SEASPAN YANGTZE,,C,52,,,,,,,,,,,,,,,,,0.0,,,,11014.0,74.89,74.89,,2024-12-27,2024-12-27,2025-01-29,2025-01-29,2025-04-17,2025-02-10,2025-02-10,2025-02-10,47150.0,120761.0,126796.0,2025-11-20,,,,,,,,2025-02-20,,,,,,,2,Port → WH → Site
385,HVDC-ADOPT-SCT-0038,E08,HVDC-ADOPT-SCT-0038,2025-01-05,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (11th),O,O,O,O,FOB,USD,108051.79,10400.0,1296.62,119748.41,KOREA,Busan Port,Khalifa port,290-700-2412-143,SOUTHAMPTON EXPRESS,Deugro,C,39,1.0,,6.0,,,,,,,,,,,,,,7.0,,,,64093.0,194.05,194.05,,2025-01-05,2025-01-05,2025-02-07,2025-02-07,2025-04-16,2025-02-11,2025-02-11,2025-02-11,47150.0,21989.0,23088.0,2025-02-26,2025-02-28,2025-04-28,2025-04-21,,,,,,,2025-03-19,,,,,2,Port → WH → Site
386,HVDC-ADOPT-ZEN-0006,,HVDC-ADOPT-ZEN-0006,2024-09-30,,FIRE EATER,,,Fire Extinguishing System,,,,,CIF,EUR,,,,493422.36,Denmark,Copenhagen,Khalifa port,SEA EX 2411F-180,NEUN FELDE,,C,40,3.0,,,,,,,,,,,,,,,,3.0,,,,35796.0,41.52,41.52,,2024-12-07,2024-12-07,2025-02-09,2025-02-09,2025-04-16,2025-02-12,2025-02-14,2025-02-14,47150.0,59201.0,111182.0,,,,,,,,,,,,,2025-02-15,,,2,Port → WH → Site
389,HVDC-ADOPT-SCT-0056,E08,HVDC-ADOPT-SCT-0056,2025-02-11,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,,,FOB,USD,6813.82,2876.46,106.59,9796.87,CHINA,Shanghai,Abu Dhabi Airport,607 37608270,EY9912,,A,2,,,,,,,,,,,,,,,,,0.0,,,,502.0,1.67,1.67,,2025-02-14,2025-02-14,2025-02-14,2025-02-14,2025-04-16,2025-02-14,2025-02-14,2025-02-14,47150.0,1799.0,1889.0,2025-02-21,,2025-03-09,,,,,,,,2025-02-10,,,,,2,Port → WH → Site
390,HVDC-ADOPT-SCT-0039,E08,HVDC-ADOPT-SCT-0039,2025-01-11,5001003776,Sangdong,Elec,Earthing & Lightning Protection Material,Earthing & Lightning Protection Material (2nd),O,O,O,O,FOB,USD,28436.23,800.0,341.23,29577.46,KOREA,Busan Port,Khalifa port,290-700-2501-006,HMM HANUL,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1220.0,3.78,3.78,,2025-01-11,2025-01-11,2025-02-19,2025-02-19,2025-04-17,2025-02-19,2025-02-19,2025-02-19,47150.0,5432.0,5703.0,2025-04-24,2025-02-28,2025-03-31,2025-04-06,,,,,,,2025-03-18,,,,,2,Port → WH → Site
392,HVDC-ADOPT-SCT-0042,E08,HVDC-ADOPT-SCT-0042,2025-01-18,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (12th),O,O,O,,FOB,USD,34922.92,4000.0,428.15,39351.07,KOREA,Busan Port,Khalifa port,290-700-2501-026,UMM QARN,Deugro,C,11,1.0,,2.0,,,,,,,,,,,,,,3.0,,,,18613.0,75.46,75.46,,2025-01-18,2025-01-18,2025-02-21,2025-02-21,2025-04-17,2025-02-24,2025-02-24,2025-02-24,47150.0,7226.0,7587.0,2025-03-03,2025-03-03,2025-04-28,,,,,,,,2025-03-01,,,,,2,Port → WH → Site
414,HVDC-ADOPT-SCT-0063,E08,HVDC-ADOPT-SCT-0063,2025-03-06,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (14th),O,,O,,FOB,USD,2166.0,455.0,31.45,2652.45,KOREA,Incheon,Abu Dhabi Airport,DGOS2502025,EY823,Deugro,A,2,,,,,,,,,,,,,,,,,0.0,,,,70.0,0.16,0.16,,2025-03-06,2025-03-06,2025-03-07,2025-03-07,,2025-03-07,2025-03-07,2025-03-07,47150.0,488.0,512.0,2025-03-27,2025-03-14,,,,,,,,,,,,,,1,Port → Site
416,HVDC-ADOPT-ZEN-0008,,HVDC-ADOPT-ZEN-0008,2024-10-23,49922,SPP PUMPS,,,Fire Pump Set,,,,,CIF,USD,,,,600000.0,United Kingdom,Felixstowe,Khalifa port,245257972,ELLY MAERSK,,C,8,,1.0,,,,,1.0,,,,,,,,,,2.0,,,,14897.0,58.6,58.6,,2025-01-18,2025-01-18,2025-02-28,2025-02-28,2025-04-17,2025-03-07,2025-03-09,2025-03-09,47150.0,111277.0,116841.0,,,,,,,,,,,,,2025-03-11,,,2,Port → WH → Site
417,HVDC-ADOPT-SCT-0043,E08,HVDC-ADOPT-SCT-0043,2025-01-27,5001009797,Dong-A Bestech,Elec,Cable Gland,Cable Gland 1st,O,O,O,O,FOB,USD,72079.01,800.0,864.95,73743.96,KOREA,Busan Port,Khalifa port,290-700-2501-072,HMM GAON,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,4490.0,11.93,11.93,,2025-01-27,2025-01-27,2025-03-07,2025-03-07,2025-04-16,2025-03-10,2025-03-11,2025-03-11,47150.0,13542.0,14218.0,2025-03-18,2025-03-18,2025-04-01,2025-03-31,,,,,,,2025-03-17,,,,,2,Port → WH → Site
418,HVDC-ADOPT-SCT-0045,M01,HVDC-ADOPT-SCT-0045,2025-01-26,5000740797,WILO Pump Korea,Mech,General Seviece Pump 1st,Portable water Pump,,O,O,,FOB,USD,25600.0,800.0,307.2,26707.2,KOREA,Busan Port,Khalifa port,290-700-2501-148,HMM GAON,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1140.0,4.75,4.75,,2025-01-27,2025-01-27,2025-03-07,2025-03-07,2025-04-17,2025-03-10,2025-03-11,2025-03-11,47150.0,4905.0,5149.0,,2025-03-18,2025-04-01,,,,,,,,2025-03-17,,,,,2,Port → WH → Site
419,HVDC-ADOPT-SCT-0047,E08,HVDC-ADOPT-SCT-0047,2025-01-30,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,,,,FOB,USD,47620.0,900.0,533.72,49053.72,CHINA,Shanghai,Khalifa port,290-700-2501-182,HMM GAON,Deugro,C,6,1.0,,,,,,,,,,,,,,,,1.0,,,,2402.0,16.59,16.59,,2025-01-30,2025-01-30,2025-03-07,2025-03-07,2025-04-17,2025-03-07,2025-03-07,2025-03-07,47150.0,9008.0,9458.0,2025-03-18,,,,,,,,,,,,,,,1,Port → Site
422,HVDC-ADOPT-SEI-0020,E03,HVDC-ADOPT-SEI-0020,2025-02-20,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Omline Monitoring System,O,O,,,CIF,EUR,4146376.27,13092.58,20901.85,4180370.7,GERMANY,Frankfurt,Abu Dhabi Airport,HHAD00023181,QR-8222,,A,5,,,,,,,,,,,,,,,,,0.0,,,,1882.0,10.52,10.52,,2025-02-28,2025-02-28,2025-03-09,2025-03-09,2025-04-14,2025-03-10,2025-03-10,2025-03-10,47150.0,832561.0,874188.0,2025-09-29,,2025-10-16,,,,,,2025-03-11,,2025-10-08,,,,,3,Port → WH → MOSB → Site
426,HVDC-ADOPT-ZEN-0006 A,,HVDC-ADOPT-ZEN-0006 A,2024-09-30,,FIRE EATER,,,Fire Extinguishing System,,,,,CIF,EUR,,,,397041.12,Denmark,Copenhagen,Khalifa port,SEA EX 2411F-180A,NEUN FELDE,,C,42,3.0,,,,,,,,,,,,,,,,3.0,,,,73080.0,78.61,78.61,,2024-12-19,2024-12-19,2025-03-09,2025-03-09,2025-04-16,2025-03-13,2025-03-13,2025-03-13,47150.0,,91272.0,,,,,,,,,,,,,2025-03-14,,,2,Port → WH → Site
429,HVDC-ADOPT-SCT-0069,E08,HVDC-ADOPT-SCT-0069,2025-03-15,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System (Lighting Fixture),O,,,,FOB,USD,52500.0,4090.24,577.5,57167.74,Spain,Barcelona,Abu Dhabi Airport,BCN318684,EY0112,,A,4,,,,,,,,,,,,,,,,,0.0,,,,913.0,5.73,5.73,,2025-03-15,2025-03-15,2025-03-15,2025-03-15,2025-04-17,2025-03-17,2025-03-17,2025-03-17,47150.0,10498.0,11022.0,2025-04-05,,,,,,,,,,,,,,,1,Port → Site
433,HVDC-ADOPT-SCT-0065,E08,HVDC-ADOPT-SCT-0065,2025-03-11,5001005974,JEONO ELECTRIC,Elec,Terminal Lug,Terminal Lug,O,O,O,,FOB,USD,32724.95,7160.0,359.97,40244.92,KOREA,Incheon,Abu Dhabi Airport,SUN1184900,TK6545,,A,3,,,,,,,,,,,,,,,,,0.0,,,,1432.0,3.29,3.29,,2025-03-16,2025-03-16,2025-03-18,2025-03-18,2025-04-16,2025-03-18,2025-03-18,2025-03-18,47150.0,7393.0,7760.0,2025-04-16,2025-04-14,2025-04-22,,,2025-03-25,,,,,2025-04-09,,,,,3,Port → WH → MOSB → Site
434,HVDC-ADOPT-SCT-0054,E08,HVDC-ADOPT-SCT-0054,2025-02-26,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,217975.0,3200.0,2397.73,223572.73,CHINA,Shekou,Khalifa port,290-700-2502-167,CMA CGM IRON,Deugro,C,26,,,2.0,,,,,,,,,,,,,,2.0,,,,10410.0,73.49,73.49,,2025-02-26,2025-02-26,2025-03-18,2025-03-18,2025-04-16,2025-03-24,2025-03-24,2025-03-24,47150.0,41054.0,43106.0,2025-04-09,2025-04-08,2025-04-22,2025-04-22,,2025-03-29,,,,,2025-04-09,,,,,3,Port → WH → MOSB → Site
449,HVDC-ADOPT-SCT-0055,E08,HVDC-ADOPT-SCT-0055,2025-02-18,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (13th),O,O,O,,FOB,USD,203871.0,15200.0,2242.58,221313.58,KOREA,Busan Port,Khalifa port,290-700-2502-065,HMM DAON,Deugro,C,60,1.0,,9.0,,,,,,,,,,,,,,10.0,,,,113708.0,326.32,326.32,,2025-02-18,2025-02-18,2025-03-28,2025-03-29,2025-04-17,2025-03-26,2025-03-27,2025-03-27,47150.0,40639.0,42671.0,2025-04-11,2025-04-14,2025-04-16,,,,,,,,2025-04-08,,,,,2,Port → WH → Site
450,HVDC-ADOPT-SCT-0052,E08,HVDC-ADOPT-SCT-0052,2025-02-18,5001009797,Dong-A Bestech,Elec,Cable Gland,Cable Gland 2nd,O,O,O,O,FOB,USD,153749.31,1600.0,1691.24,157040.55,KOREA,Busan Port,Khalifa port,290-700-2502-064,HMM DAON,Deugro,C,4,,,1.0,,,,,,,,,,,,,,1.0,,,,8605.0,24.56,24.56,,2025-02-18,2025-02-18,2025-03-28,2025-03-28,2025-04-17,2025-03-26,2025-03-28,2025-03-28,47150.0,28837.0,30278.0,2025-04-09,2025-04-14,2025-04-28,2025-04-21,,2025-04-09,,,,,2025-04-09,,,,,3,Port → WH → MOSB → Site
451,HVDC-ADOPT-SCT-0051,E08,HVDC-ADOPT-SCT-0051,2025-02-18,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (4th),O,,O,O,FOB,USD,36212.6,800.0,434.55,37447.15,KOREA,Busan Port,Khalifa port,290-700-2502-063,HMM DAON,Deugro,C,3,1.0,,,,,,,,,,,,,,,,1.0,,,,1724.0,4.27,4.27,,2025-02-18,2025-02-18,2025-03-28,2025-03-29,2025-04-17,2025-03-26,2025-03-29,2025-03-29,47150.0,1684.0,6961.0,2025-04-11,2025-04-14,,2025-05-29,,,,,,,2025-05-12,,,,,2,Port → WH → Site
452,HVDC-ADOPT-SCT-0050,E08,HVDC-ADOPT-SCT-0050,2025-02-18,5001003776,Sangdong,Elec,Earthing & Lightning Protection Material,Earthing & Lightning Protection Material (3rd),O,O,O,O,FOB,USD,15130.32,800.0,181.56,16111.88,KOREA,Busan Port,Khalifa port,290-700-2502-062,HMM DAON,Deugro,C,6,1.0,,,,,,,,,,,,,,,,1.0,,,,3980.0,9.68,9.68,,2025-02-18,2025-02-18,2025-03-28,2025-03-29,2025-04-17,2025-03-26,2025-03-27,2025-03-27,47150.0,2959.0,3107.0,2025-04-09,2025-04-14,2025-04-24,2025-04-21,,,,,,,2025-04-09,,,,,2,Port → WH → Site
458,HVDC-ADOPT-SCT-0053,E08,HVDC-ADOPT-SCT-0053,2025-01-23,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,94045.0,2660.0,1034.5,97739.5,Spain,Barcelona,Khalifa port,290-700-2502-077,MSC CATANIA,Deugro,C,37,,,1.0,,,,,,,,,,,,,,1.0,,,,5302.0,48.26,48.26,,2025-02-27,2025-02-27,2025-04-01,2025-04-01,2025-04-30,2025-04-03,2025-04-04,2025-04-04,47150.0,17949.0,18845.0,2025-04-21,2025-04-22,2025-04-29,,,,,,,,2025-04-21,,,,,2,Port → WH → Site
459,HVDC-ADOPT-SCT-0061,E08,HVDC-ADOPT-SCT-0061,2025-03-31,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting Fixture,O,O,O,O,FOB,USD,14100.0,2030.0,169.2,16299.2,Spain,Vitoria-Gasteiz,Abu Dhabi Airport,MAD-00002288,EK4607 / 9906,Deugro,A,4,,,,,,,,,,,,,,,,,0.0,,,,406.0,3.42,3.42,,2025-03-28,2025-03-28,2025-04-04,2025-04-04,2025-04-28,2025-04-04,2025-04-04,2025-04-04,47150.0,2993.0,3143.0,2025-05-01,2025-04-30,2025-04-25,2025-04-27,,,,,,,2025-04-17,,,,,2,Port → WH → Site
460,HVDC-ADOPT-SIM-0066,E04-1,HVDC-ADOPT-SIM-0066,2025-01-23,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Statron Battery,O,,O,,CIF,EUR,,,,40520.0,India,Visakhapatnam,Khalifa port,BBC/ABU/17763,MSC Sabrina,,C,32,1.0,,,,,,,,,,,,,,,,1.0,,,,5028.0,6.58,6.58,,2025-02-26,2025-02-26,2025-03-31,2025-03-31,2025-04-30,2025-04-02,2025-04-07,2025-04-07,47150.0,8190.0,8596.0,2025-04-19,2025-04-19,,,,,,,,,,,,,,1,Port → Site
461,HVDC-ADOPT-SCT-0079,E08,HVDC-ADOPT-SCT-0079,2025-03-27,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,16080.0,2220.44,176.88,18477.32,Spain,Vitoria-Gasteiz,Abu Dhabi Airport,MAD-00002284,QR9274,Deugro,A,4,,,,,,,,,,,,,,,,,0.0,,,,257.4,2.54,2.54,,2025-03-27,2025-03-27,2025-04-01,2025-04-01,2025-04-30,2025-04-07,2025-04-07,2025-04-07,47150.0,3393.0,3563.0,,2025-04-29,2025-04-13,,,,,,,,2025-04-08,,,,,2,Port → WH → Site
466,HVDC-ADOPT-PPL-0016,E02,HVDC-ADOPT-PPL-0016,2025-03-18,5000675246,Prysmian,Elec,320kV HVDC Cable System,MINISUB FOC Subsea Fibre Optic Cable (up to 96 fibres) FO Accessories,,,,,CIF,EUR,177539.1,1704.0,1971.67,181214.77,GERMANY,Frankfurt,Abu Dhabi Airport,607-3487-8163,EY7114,,A,3,,,,,,,,,,,,,,,,,0.0,,,,210.0,0.73,0.73,,2025-04-04,2025-04-04,2025-04-05,2025-04-05,2025-04-28,2025-04-10,2025-04-10,2025-04-10,47150.0,37043.0,38895.0,,2025-11-24,,,,,,,2025-04-15,,,,,,,2,Port → WH → Site
467,HVDC-ADOPT-SCT-0090,E08,HVDC-ADOPT-SCT-0090,2025-04-05,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,,,,O,FOB,USD,6013.63,748.2,65.43,6827.26,CHINA,Zhenzhen,Abu Dhabi Airport,20250103,3375,Deugro,A,20,,,,,,,,,,,,,,,,,0.0,,,,86.0,0.56,0.56,,2025-04-06,2025-04-06,2025-04-06,2025-04-06,2025-05-06,2025-04-08,2025-04-08,2025-04-08,47150.0,,1254.0,,,,2025-04-12,,,,,,,2025-04-09,,,,,2,Port → WH → Site
477,HVDC-ADOPT-SCT-0049,E08,HVDC-ADOPT-SCT-0049,2025-03-01,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control Cable (6th)",O,O,O,O,FOB,USD,3931938.0,40000.0,43251.32,4015189.32,KOREA,Busan Port,Khalifa port,290-700-2502-115,HMM MIR,Deugro,C,295,14.0,,18.0,,,,,,,,,,,,,,32.0,,,,541644.0,682.29,682.29,,2025-03-01,2025-03-01,2025-04-08,2025-04-08,2025-04-30,2025-04-11,2025-04-14,2025-04-14,47150.0,716867.0,773133.0,2025-05-07,2025-05-12,2025-06-30,2025-09-05,,,,,,,2025-05-05,,,,,2,Port → WH → Site
478,HVDC-ADOPT-SCT-0057,E08,HVDC-ADOPT-SCT-0057,2025-03-03,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,O,O,FOB,USD,72495.76,1600.0,869.95,74965.71,CHINA,Shanghai,Khalifa port,290-700-2502-193,HMM MIR,Deugro,C,9,,,1.0,,,,,,,,,,,,,,1.0,,,,4456.0,14.31,14.31,,2025-03-01,2025-03-01,2025-04-08,2025-04-08,2025-04-30,2025-04-11,2025-04-14,2025-04-14,47150.0,15831.0,16622.0,2025-04-23,2025-04-19,2025-04-23,2025-04-25,,,,,,,2025-04-17,,,,,2,Port → WH → Site
480,HVDC-ADOPT-ZEN-0014,,HVDC-ADOPT-ZEN-0014,2025-01-20,,FIRE EATER,,,Fire Extinguishing System,,,,,CIF,EUR,,,,1090579.95,Denmark,Copenhagen,Khalifa port,17031,VANCOUVER EXPRESS,,C,95,7.0,,,,,,,,,,,,,,,,7.0,,,,121226.0,137.39,137.39,,2025-02-08,2025-02-08,2025-04-11,2025-04-11,,2025-04-18,2025-04-18,2025-04-18,47150.0,68168.0,265079.0,,,,,,,,,,,,,2025-04-23,,,2,Port → WH → Site
481,HVDC-ADOPT-SCT-0091,E08,HVDC-ADOPT-SCT-0091,2025-04-11,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,,FOB,USD,18330.0,890.0,211.42,19431.42,Spain,Barcelona,Abu Dhabi Airport,BCN323247,EY0112,,A,3,,,,,,,,,,,,,,,,,0.0,,,,271.0,2.88,2.88,,2025-04-11,2025-04-11,2025-04-11,2025-04-11,2025-04-28,2025-04-17,2025-04-17,2025-04-17,47150.0,3569.0,3747.0,2025-05-01,2025-04-30,2025-04-29,,,,,,,,2025-04-19,,,,,2,Port → WH → Site
482,HVDC-ADOPT-ZEN-0016,,HVDC-ADOPT-ZEN-0016,2025-01-30,,APRECO,,,Pressure Relief Dampers,,,,,CIF,GBP,,,,80363.0,United Kingdom,London,Khalifa port,NE2500059,MAERSK HERRERA,,C,9,,,1.0,,,,,,,,,,,,,,1.0,,,,5211.0,24.8,24.8,,2025-03-13,2025-03-13,2025-04-12,2025-04-12,2025-04-28,2025-04-17,2025-04-17,2025-04-17,47150.0,22505.0,23629.0,,,,,,,,,,,,,2025-04-18,,,2,Port → WH → Site
495,HVDC-ADOPT-ZEN-0018,,HVDC-ADOPT-ZEN-0018,2025-03-27,7772400288,Fluid Pumps,,,"Valves, Nozzle & Grooved Fittings",,,,,CIF,USD,,,,71896.28,India,Cochin,Khalifa port,CSX25COKAUH013835,Ever Brace,,C,13,,,1.0,,,,,,,,,,,,,,1.0,,,,6266.53,10.96,10.96,,2025-04-03,2025-04-03,2025-04-14,2025-04-14,2025-11-30,2025-04-21,2025-04-23,2025-04-23,47150.0,8435.0,13624.0,,,,,,,,,,,,,2025-04-25,,,2,Port → WH → Site
496,HVDC-ADOPT-SCT-0077,E08,HVDC-ADOPT-SCT-0077,2025-03-25,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,O,,FOB,USD,160063.8,11081.96,1882.6,173028.36,Sweden,Malmoe,Abu Dhabi Airport,AF207880,QR9543,,A,3,,,,,,,,,,,,,,,,,0.0,,,,1516.0,2.74,2.74,,2025-04-10,2025-04-10,2025-04-17,2025-04-17,2025-04-28,2025-04-22,2025-04-22,2025-04-22,47150.0,31773.0,33361.0,2025-05-01,2025-04-29,2025-05-03,,,,,,,,2025-04-25,,,,,2,Port → WH → Site
